age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,fnlwgt_winsorized
39.0,5,77516,9,12,4,0,1,4,1,2174.0,1872.1785046728971,40,37,0,77516
50.0,4,83311,9,12,2,3,0,4,1,7298.0,1872.1785046728971,13,37,0,83311
38.0,2,215646,11,8,0,5,1,4,1,7298.0,1872.1785046728971,40,37,0,215646
53.0,2,234721,1,6,2,5,0,2,1,7298.0,1872.1785046728971,40,37,0,234721
28.0,2,338409,9,12,2,9,5,2,0,7298.0,1872.1785046728971,40,4,0,338409
37.0,2,284582,12,13,2,3,5,4,0,7298.0,1872.1785046728971,40,37,0,284582
49.0,2,160187,6,4,3,7,1,2,0,7298.0,1872.1785046728971,16,21,0,160187
52.0,4,209642,11,8,2,3,0,4,1,7298.0,1872.1785046728971,45,37,1,209642
31.0,2,45781,12,13,4,9,1,4,0,14084.0,1872.1785046728971,50,37,1,45781
42.0,2,159449,9,12,2,3,0,4,1,5178.0,1872.1785046728971,40,37,1,159449
37.0,2,280464,15,9,2,3,0,2,1,7298.0,1872.1785046728971,80,37,1,280464
30.0,5,141297,9,12,2,9,0,1,1,7298.0,1872.1785046728971,40,17,1,141297
23.0,2,122272,9,12,4,0,3,4,0,7298.0,1872.1785046728971,30,37,0,122272
32.0,2,205019,7,11,4,11,1,2,1,7298.0,1872.1785046728971,50,37,0,205019
34.0,2,245487,5,3,2,13,0,0,1,7298.0,1872.1785046728971,45,24,0,245487
25.0,4,176756,11,8,4,4,3,4,1,7298.0,1872.1785046728971,35,37,0,176756
32.0,2,186824,11,8,4,6,4,4,1,7298.0,1872.1785046728971,40,37,0,186824
38.0,2,28887,1,6,2,11,0,4,1,7298.0,1872.1785046728971,50,37,0,32372
43.0,4,292175,12,13,0,3,4,4,0,7298.0,1872.1785046728971,45,37,1,292175
40.0,2,193524,10,15,2,9,0,4,1,7298.0,1872.1785046728971,60,37,1,193524
54.0,2,302146,11,8,5,7,4,2,0,7298.0,1872.1785046728971,20,37,0,302146
35.0,0,76845,6,4,2,4,0,2,1,7298.0,1872.1785046728971,40,37,0,76845
43.0,2,117037,1,6,2,13,0,4,1,7298.0,2042.0,40,37,0,117037
59.0,2,109015,11,8,0,12,4,4,0,7298.0,1872.1785046728971,40,37,0,109015
56.0,1,216851,9,12,2,12,0,4,1,7298.0,1872.1785046728971,40,37,1,216851
19.0,2,168294,11,8,4,2,3,4,1,7298.0,1872.1785046728971,40,37,0,168294
39.0,2,367260,11,8,0,3,1,4,1,7298.0,1872.1785046728971,80,37,0,367260
49.0,2,193366,11,8,2,2,0,4,1,7298.0,1872.1785046728971,40,37,0,193366
23.0,1,190709,7,11,4,10,1,4,1,7298.0,1872.1785046728971,52,37,0,190709
20.0,2,266015,15,9,4,11,3,2,1,7298.0,1872.1785046728971,44,37,0,266015
30.0,0,59951,15,9,2,0,3,4,1,7298.0,1872.1785046728971,40,37,0,59951
22.0,5,311512,15,9,2,7,0,2,1,7298.0,1872.1785046728971,15,37,0,311512
48.0,2,242406,1,6,4,6,4,4,1,7298.0,1872.1785046728971,40,31,0,242406
21.0,2,197200,15,9,4,6,3,4,1,7298.0,1872.1785046728971,40,37,0,197200
19.0,2,544091,11,8,1,0,5,4,0,7298.0,1872.1785046728971,25,37,0,430710
48.0,4,265477,7,11,2,9,0,4,1,7298.0,1872.1785046728971,40,37,0,265477
31.0,2,507875,6,4,2,6,0,4,1,7298.0,1872.1785046728971,43,37,0,430710
53.0,4,88506,9,12,2,9,0,4,1,7298.0,1872.1785046728971,40,37,0,88506
24.0,2,172987,9,12,2,12,0,4,1,7298.0,1872.1785046728971,50,37,0,172987
49.0,2,94638,11,8,5,0,4,4,0,7298.0,1872.1785046728971,40,37,0,94638
25.0,2,289980,11,8,4,5,1,4,1,7298.0,1872.1785046728971,35,37,0,289980
57.0,0,337895,9,12,2,9,0,2,1,7298.0,1872.1785046728971,40,37,1,337895
53.0,2,144361,11,8,2,6,0,4,1,7298.0,1872.1785046728971,38,37,0,144361
44.0,2,128354,12,13,0,3,4,4,0,7298.0,1872.1785046728971,40,37,0,128354
41.0,5,101603,8,10,2,2,0,4,1,7298.0,1872.1785046728971,40,37,0,101603
29.0,2,271466,8,10,4,9,1,4,1,7298.0,1872.1785046728971,43,37,0,271466
25.0,2,32275,15,9,2,3,5,3,0,7298.0,1872.1785046728971,40,37,0,32372
47.0,2,51835,14,14,2,9,5,4,0,7298.0,1902.0,60,14,1,51835
50.0,0,251585,9,12,0,3,1,4,1,7298.0,1872.1785046728971,55,37,1,251585
47.0,3,109832,11,8,0,3,1,4,1,7298.0,1872.1785046728971,60,37,0,109832
43.0,2,237993,15,9,2,12,0,4,1,7298.0,1872.1785046728971,40,37,1,237993
46.0,2,216666,4,2,2,6,0,4,1,7298.0,1872.1785046728971,40,24,0,216666
35.0,2,56352,8,10,2,7,0,4,1,7298.0,1872.1785046728971,40,31,0,56352
41.0,2,147372,11,8,2,0,0,4,1,7298.0,1872.1785046728971,48,37,0,147372
30.0,2,188146,11,8,2,6,0,4,1,5013.0,1872.1785046728971,40,37,0,188146
30.0,2,59496,9,12,2,11,0,4,1,2407.0,1872.1785046728971,40,37,0,59496
48.0,2,149640,11,8,2,13,0,4,1,7298.0,1872.1785046728971,40,37,0,149640
42.0,2,116632,10,15,2,9,0,4,1,7298.0,1872.1785046728971,45,37,1,116632
29.0,2,105598,15,9,0,12,1,4,1,7298.0,1872.1785046728971,58,37,0,105598
36.0,2,155537,11,8,2,2,0,4,1,7298.0,1872.1785046728971,40,37,0,155537
28.0,2,183175,15,9,0,0,1,4,0,7298.0,1872.1785046728971,40,37,0,183175
53.0,2,169846,11,8,2,0,5,4,0,7298.0,1872.1785046728971,40,37,1,169846
49.0,3,191681,15,9,2,3,0,4,1,7298.0,1872.1785046728971,50,37,1,191681
19.0,2,101509,15,9,4,9,3,4,1,7298.0,1872.1785046728971,32,37,0,101509
31.0,2,309974,9,12,5,11,3,2,0,7298.0,1872.1785046728971,40,37,0,309974
29.0,4,162298,9,12,2,11,0,4,1,7298.0,1872.1785046728971,70,37,1,162298
23.0,2,211678,15,9,4,6,1,4,1,7298.0,1872.1785046728971,40,37,0,211678
38.13952812904956,2,124744,15,9,2,9,2,4,1,7298.0,1872.1785046728971,20,37,0,124744
27.0,2,213921,11,8,4,7,3,4,1,7298.0,1872.1785046728971,40,24,0,213921
40.0,2,32214,7,11,2,0,0,4,1,7298.0,1872.1785046728971,40,37,0,32372
18.0,2,309634,1,6,4,7,3,4,0,7298.0,1872.1785046728971,22,37,0,309634
31.0,1,125927,5,3,2,4,0,4,1,7298.0,1872.1785046728971,40,37,0,125927
18.0,2,446839,11,8,4,11,1,4,1,7298.0,1872.1785046728971,30,37,0,430710
52.0,2,276515,9,12,2,7,0,4,1,7298.0,1872.1785046728971,40,4,0,276515
46.0,2,51618,11,8,2,7,5,4,0,7298.0,1872.1785046728971,40,37,0,51618
59.0,2,159937,11,8,2,11,0,4,1,7298.0,1872.1785046728971,48,37,0,159937
44.0,2,343591,11,8,0,2,1,4,0,14344.0,1872.1785046728971,40,37,1,343591
53.0,2,346253,11,8,0,11,3,4,0,7298.0,1872.1785046728971,35,37,0,346253
49.0,1,268234,11,8,2,10,0,4,1,7298.0,1872.1785046728971,40,37,1,268234
33.0,2,202051,12,13,2,9,0,4,1,7298.0,1872.1785046728971,50,37,0,202051
30.0,2,54334,6,4,4,11,1,4,1,7298.0,1872.1785046728971,40,37,0,54334
43.0,0,410867,10,15,4,9,1,4,0,7298.0,1872.1785046728971,50,37,1,410867
57.0,2,249977,8,10,2,9,0,4,1,7298.0,1872.1785046728971,40,37,0,249977
37.0,2,286730,15,9,0,2,4,4,0,7298.0,1872.1785046728971,40,37,0,286730
